id,x,y,demand
0,50,50,0
1,12,34,10
2,78,22,15
3,45,67,20
4,89,12,25
5,23,45,10
6,56,78,15
7,91,34,20
8,67,89,25
9,14,56,10
10,38,72,15
11,82,48,20
12,95,65,25
13,27,18,10
14,61,29,15
15,73,84,20
16,18,91,25
17,44,23,10
18,58,39,15
19,84,74,20
20,31,62,25
21,11,88,10
22,69,17,15
23,53,53,20
24,92,41,25
25,36,95,10
26,47,14,15
27,76,57,20
28,64,81,25
29,20,36,10
30,88,93,15
31,15,49,20
32,55,26,25
33,72,63,10
34,41,87,15
35,97,31,20
36,29,77,25
37,63,11,10
38,86,52,15
39,17,69,20
40,52,94,25
41,33,28,10
42,74,46,15
43,93,79,20
44,25,59,25
45,48,37,10
46,81,96,15
47,13,25,20
48,66,71,25
49,39,83,10
50,90,58,15
